source,company,position_id,parent_position_id,job_requirement_id,position_intention_id,position_intention_name,position_name,position_url,position_req_code,batch_id,batch_name,category_name,family_code,family_name,data_source,work_locations,interview_locations,departments,circles,circle_codes,channels,feature_tags,publish_time,modify_time,graduation_from,graduation_to,requirement,description
honor,Honor,698c2f42be908548be135fd9,,,,,AI模型能力评测工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009864,,2026年实习生,研发类,,,,北京市 | 南京市,,AI&软件业务部,,,,本科及以上,2026-02-11 15:26:19,,,,本科及以上,
honor,Honor,698c2eaebe908548be135fbb,,,,,互联网算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009874,,2026年实习生,研发类,,,,北京市 | 南京市 | 深圳市,,AI&软件业务部,,,,本科及以上,2026-02-11 15:24:27,,,,本科及以上,
honor,Honor,698c2f828e515379dcef6c28,,,,,大模型算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009871,,2026年实习生,研发类,,,,北京市 | 南京市 | 上海市 | 深圳市,,AI&软件业务部,,,,本科及以上,2026-02-11 15:27:51,,,,本科及以上,
honor,Honor,698c2f5310919a570b46ab0a,,,,,大模型预研工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009865,,2026年实习生,研发类,,,,北京市 | 深圳市,,AI&软件业务部,,,,本科及以上,2026-02-11 15:27:14,,,,本科及以上,
honor,Honor,698c2ea0be908548be135fb6,,,,,数据分析工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009867,,2026年实习生,研发类,,,,北京市 | 南京市 | 深圳市,,AI&软件业务部,,,,本科及以上,2026-02-11 15:24:13,,,,本科及以上,
honor,Honor,69b75d3d8e515379dc1738e8,,,,,机器人VLA和强化学习算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009976,,2026年实习生,研发类,,,,北京市 | 上海市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3cbe908548be3b46a5,,,,,机器人一体化关节设计工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009967,,2026年实习生,研发类,,,,北京市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3d8e515379dc1738e6,,,,,机器人三维感知与多模态算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009969,,2026年实习生,研发类,,,,北京市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3ce49e0e559fb8c8f3,,,,,机器人关节电机驱动算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009974,,2026年实习生,研发类,,,,深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3ce49e0e559fb8c8f6,,,,,机器人具身大模型与数据算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009968,,2026年实习生,研发类,,,,北京市 | 上海市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3c8e515379dc1738e2,,,,,机器人强化学习算法工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009975,,2026年实习生,研发类,,,,北京市 | 上海市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3dbe908548be3b46a9,,,,,机器人整机架构师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009977,,2026年实习生,研发类,,,,北京市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3bbe908548be3b46a3,,,,,机器人整机设计工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009965,,2026年实习生,研发类,,,,北京市 | 上海市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3b8e515379dc1738e0,,,,,机器人灵巧手设计工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009966,,2026年实习生,研发类,,,,北京市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3b10919a570b6eee85,,,,,机器人硬件开发工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009972,,2026年实习生,研发类,,,,北京市 | 上海市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3b10919a570b6eee88,,,,,机器人系统测试工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009973,,2026年实习生,研发类,,,,北京市 | 上海市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3d10919a570b6eee8b,,,,,机器人软件系统开发工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009970,,2026年实习生,研发类,,,,北京市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
honor,Honor,69b75d3e10919a570b6eee8e,,,,,机器人运动规划与控制工程师,https://career.honor.com/SU61b9b9992f9d24431f5050a5/pb/interns.html,HONOR009971,,2026年实习生,研发类,,,,北京市 | 上海市 | 深圳市,,新产业孵化部,,,,本科及以上,2026-03-16 09:30:32,,,,本科及以上,
